id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
25138871,The Baying Hound Campground {Tent Site #1},35.61172,-82.60327,28806,Asheville,Campsite,Entire home/apt,0,0.0,17.0,2017-09-19,t,2,1,30,97.0,t,flexible
25181137,Craft Beer Home - Free Kegerator of Local AVL Beer,35.59964,-82.62606,28806,Asheville,House,Entire home/apt,4,3.0,150.0,2017-01-03,t,1,2,122,97.0,f,moderate
25212461,Entire guest suite private entrance close to all !,35.538990000000005,-82.51315,28803,Asheville,House,Private room,1,1.0,129.0,2018-05-19,t,1,2,56,100.0,f,flexible
25236572,Hillside House,35.60579,-82.56222,28801,Asheville,Bungalow,Entire home/apt,1,1.5,180.0,2013-05-05,f,2,1,10,98.0,f,strict_14_with_grace_period
25251626,Honey's Place ✵Asheville • River Arts • Biltmore✵,35.62793,-82.59408,28804,Asheville,Apartment,Entire home/apt,2,1.0,115.0,2013-03-27,t,4,1,163,98.0,t,moderate
25281090,Very Special Downtown Asheville Loft,35.59572,-82.5542,28801,Asheville,Loft,Entire home/apt,1,1.0,240.0,2012-09-26,f,1,3,1,100.0,t,flexible
25286041,Convenient Bunk Bed and Bath Near Downtown,35.56074,-82.50586,28803,Asheville,House,Private room,1,1.0,60.0,2014-09-23,t,3,1,83,98.0,f,flexible
25309332,Modern 2BR Near Downtown,35.63555,-82.59263,28804,Woodfin,House,Entire home/apt,2,2.0,52.0,2017-09-07,f,6,2,10,90.0,t,super_strict_30
25322676,West AVL Landing Pad,35.59083,-82.58542,28806,Asheville,House,Private room,1,1.0,50.0,2016-02-05,t,1,2,119,97.0,t,flexible
25366645,FernWood *forest retreat* sleeps 10,35.48858,-82.67036999999999,28715,Candler,House,Entire home/apt,4,2.0,150.0,2018-04-13,t,9,2,35,97.0,f,moderate
25398902,TreeTop ReTREAT-Stunning Views! 5 m to Grv Prk Inn,35.6209,-82.56248000000001,28804,Asheville,Guest suite,Entire home/apt,0,1.0,149.0,2014-05-30,t,1,2,76,97.0,f,strict_14_with_grace_period
25406163,Heron's Rest West Asheville,35.57202,-82.62386,28806,Asheville,Guest suite,Entire home/apt,1,1.0,65.0,2014-03-15,t,2,1,115,97.0,t,strict_14_with_grace_period
