id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,review_scores_rating,cancellation_policy
2432333,Laurelwood,12430753,Anne,2/20/2014,within an hour,100%,96%,t,Asheville,28805,35.59171,-82.51076,House,Entire home/apt,2,1,1,$100.00 ,,,98,moderate
2454666,"The Hideaway, W. Asheville.  2 BR Apt w/ Hot Tub!",10240937,Joe,11/24/2013,within an hour,100%,100%,t,Asheville,28806,35.57943,-82.58682,Apartment,Entire home/apt,4,1,2,$140.00 ,$250.00 ,,98,strict_14_with_grace_period
2477628,River Arts Eco-Cottage - Close to Downtown/Mission,8035294,Alicia,8/8/2013,within an hour,100%,100%,t,Asheville,28801,35.58939,-82.56782,House,Entire home/apt,4,1.5,2,$65.00 ,$500.00 ,$150.00 ,97,moderate
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,9/6/2013,N/A,N/A,N/A,f,Asheville,28801,35.60045,-82.55587,Condominium,Entire home/apt,4,2,2,"$2,500.00 ",$200.00 ,$100.00 ,100,strict_14_with_grace_period
2607570,New Cozy Garage Apt/ Great Location,13238922,Irma,3/17/2014,N/A,N/A,100%,f,Asheville,28801,35.60606,-82.54351,Apartment,Entire home/apt,2,1,1,$79.00 ,,,96,flexible
2624781,Tudor Charmer 2 Miles from Downtown,1092030,Justin,8/31/2011,N/A,N/A,100%,f,Asheville,28803,35.58103,-82.53334,House,Entire home/apt,5,1.5,2,$249.00 ,$0.00 ,$150.00 ,80,moderate
2643168,Luxurious B&B Room Steps to Downtown Asheville,13532421,Frank,3/25/2014,N/A,N/A,N/A,f,Asheville,28801,35.60401,-82.55042,Boutique hotel,Private room,2,1,1,$999.00 ,$0.00 ,$0.00 ,,super_strict_30
2691057,SweetSuite in Grand West Asheville Home,13773106,Fran,4/1/2014,N/A,N/A,100%,t,Asheville,28806,35.57529,-82.59529,Guest suite,Private room,2,1,1,$65.00 ,$200.00 ,,98,moderate
2708104,"ROMANCE,2 FIREPLACES, KBED,CLOSE 2 ALL#1 LOCAL",11297481,Julie,1/14/2014,within an hour,100%,99%,t,Asheville,28801,35.61231,-82.55362,House,Entire home/apt,2,1,1,$100.00 ,$700.00 ,$150.00 ,98,strict_14_with_grace_period
2761044,Asheville Personal Retreat 6 - Zen Home,7073079,Athena,6/23/2013,within a few hours,100%,79%,f,Asheville,28803,35.558,-82.478,House,Entire home/apt,8,2.5,4,$668.00 ,"$1,000.00 ",$250.00 ,92,strict_14_with_grace_period
2842035,Pet Friendly Log Cabin with Hot Tub & Fireplace,14537196,Nancy,4/21/2014,within a few hours,100%,100%,t,Asheville,28805,35.57961,-82.47513,Cabin,Entire home/apt,5,2,2,$190.00 ,$100.00 ,$60.00 ,99,strict_14_with_grace_period
2925486,Trendy golfcourse apt-Near all-NO clean/pet fee,14937363,Melanie,4/30/2014,within an hour,100%,98%,f,Asheville,28805,35.58693,-82.50327,Apartment,Entire home/apt,4,1,1,$125.00 ,$0.00 ,$0.00 ,99,moderate
2943116,Beautiful W.Asheville Apartment 12 min to downtown,15025836,Robert,5/2/2014,within an hour,100%,100%,t,Asheville,28806,35.5545,-82.6244,Guest suite,Entire home/apt,2,1,1,$100.00 ,$275.00 ,$39.00 ,98,moderate
2949571,Happy Haven ART Studio 2 Bdrms No Cleaning Fee :),15056995,Celeste & Esiris,5/3/2014,within a few hours,100%,95%,t,Asheville,28806,35.59595,-82.63034,Bungalow,Entire home/apt,5,1,2,$130.00 ,$250.00 ,$0.00 ,98,moderate
3040444,Private Suite. 10 min walk to Town,12874214,David,3/6/2014,within an hour,100%,100%,t,Asheville,28801,35.60329,-82.55617,Guest suite,Entire home/apt,2,1,1,$105.00 ,$300.00 ,$25.00 ,99,moderate
3066648,Cozy Downtown Cottage - Close to Mission Hospital,15605872,Karen,5/16/2014,within a day,100%,100%,f,Asheville,28801,35.59215,-82.5664,House,Entire home/apt,2,1,1,$40.00 ,$500.00 ,$150.00 ,96,moderate
3084395,Modern Tree Top Bungalow  - Longer Term Welcome,15694798,Josh,5/18/2014,within an hour,99%,100%,t,Asheville,28804,35.6241,-82.53003,Bungalow,Entire home/apt,4,1,2,$125.00 ,$0.00 ,$25.00 ,97,strict_14_with_grace_period
3095136,Spivey Mountain Cabin w/Hot Tub!!,15694798,Josh,5/18/2014,within an hour,99%,100%,t,Asheville,28806,35.59519,-82.63967,Cabin,Entire home/apt,6,1,3,$160.00 ,$0.00 ,$40.00 ,96,strict_14_with_grace_period
3116699,Asheville Modern Round House - Longer Term Welcome,15694798,Josh,5/18/2014,within an hour,99%,100%,t,Asheville,28804,35.62352,-82.52959,House,Entire home/apt,8,2,3,$175.00 ,$0.00 ,$60.00 ,97,strict_14_with_grace_period
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,6/2/2014,within an hour,100%,91%,f,Asheville,28803,35.49069,-82.51348,House,Private room,2,1,1,$45.00 ,$0.00 ,$6.00 ,94,strict_14_with_grace_period
3225871,Little forest 5 mins from airport,16293519,Ellen,6/2/2014,N/A,N/A,95%,t,Fletcher,28732,35.4394,-82.50569,Guest suite,Entire home/apt,2,1,1,$29.00 ,$100.00 ,$25.00 ,89,moderate
